public_number,book_number,black,white,date,result,move_count,status,sgf_file,archive_url,gif_url
52,,Hashimoto Utaro,Go Seigen,"1950-11-22,23",Jigo,241,identified_by_30_move_prefix,sgf/052-1950-11-22.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1950-11-22.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80052.gif
53,,Go Seigen,Hashimoto Utaro,,B+8,256,identified_by_30_move_prefix,sgf/053-1951-03-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-03-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80053.gif
54,,Hashimoto Utaro,Go Seigen,1951-04-22,W+8,265,identified_by_30_move_prefix,sgf/054-1951-04-22.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-04-22.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80054.gif
55,,Go Seigen,Fujisawa Kuranosuke,1951-12-01..03,B+5.5,269,identified_by_30_move_prefix,sgf/055-1951-12-01.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-12-01.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80055.gif
56,,Fujisawa Kuranosuke,Go Seigen,1951-12-10..12,W+2.5,237,identified_by_30_move_prefix,sgf/056-1951-12-10.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-12-10.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80056.gif
57,,Go Seigen,Fujisawa Kuranosuke,1951-11-10..12,W+6,249,identified_by_30_move_prefix,sgf/057-1951-11-10.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-11-10.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80057.gif
58,,Fujisawa Kuranosuke,Go Seigen,1951-12-22..24,Jigo,283,identified_by_30_move_prefix,sgf/058-1951-12-22.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1951-12-22.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80058.gif
59,,Fujisawa Kuranosuke,Go Seigen,1952-03-11..13,W+R,232,identified_by_30_move_prefix,sgf/059-1952-03-11.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1952-03-11.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80059.gif
63,,Fujisawa Kuranosuke,Go Seigen,1952-10-09..11,W+R,180,identified_by_30_move_prefix,sgf/063-1952-10-09.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1952-10-09.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80063.gif
64,,Go Seigen,Fujisawa Kuranosuke,1952-12-11..13,B+R,211,identified_by_30_move_prefix,sgf/064-1952-12-11.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1952-12-11.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80064.gif
65,,Fujisawa Kuranosuke,Go Seigen,1953-02-05..07,W+5,226,identified_by_30_move_prefix,sgf/065-1953-02-05.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-02-05.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80065.gif
66,,Go Seigen,Fujisawa Kuranosuke,1953-03-11..13,B+R,221,identified_by_30_move_prefix,sgf/066-1953-03-11.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-03-11.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80066.gif
67,,Takagawa Shukaku,Go Seigen,"1952-10-25,26",W+7,289,identified_by_30_move_prefix,sgf/067-1952-10-25.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1952-10-25.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80067.gif
68,,Takagawa Shukaku,Go Seigen,"1953-01-31,02-01",W+R,204,identified_by_30_move_prefix,sgf/068-1953-01-31.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-01-31.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80068.gif
69,,Sakata Eio,Go Seigen,"1953-05-27,28",W+6,233,identified_by_30_move_prefix,sgf/069-1953-05-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-05-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80069.gif
70,,Sakata Eio,Go Seigen,"1953-07-05,06",Jigo,322,identified_by_30_move_prefix,sgf/070-1953-07-05.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-07-05.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80070.gif
71,,Tainaka Shin,Go Seigen,"1953-06-23,24",W+2,237,identified_by_30_move_prefix,sgf/071-1953-06-23.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-06-23.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80071.gif
72,,Kubouchi Shuchi,Go Seigen,"1953-07-28,29",Jigo,256,identified_by_30_move_prefix,sgf/072-1953-07-28.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-07-28.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80072.gif
73,,Go Seigen,Sakata Eio,"1953-11-19,20",B+R,203,identified_by_30_move_prefix,sgf/073-1953-11-19.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-11-19.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80073.gif
74,,Sakata Eio,Go Seigen,"1954-01-07,08",W+2,245,identified_by_30_move_prefix,sgf/074-1954-01-07.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1954-01-07.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80074.gif
75,,Go Seigen,Sakata Eio,"1954-03-27,28",B+10,272,identified_by_30_move_prefix,sgf/075-1954-03-27.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1954-03-27.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80075.gif
76,,Go Seigen,Sakata Eio,"1954-07-24,25",B+7,247,identified_by_30_move_prefix,sgf/076-1954-07-24.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1954-07-24.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80076.gif
77,,Go Seigen,Hashimoto Utaro,"1953-12-17,18",B+R,181,identified_by_30_move_prefix,sgf/077-1953-12-17.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1953-12-17.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80077.gif
78,,Go Seigen,Hashimoto Utaro,"1954-03-08,09",B+R,179,identified_by_30_move_prefix,sgf/078-1954-03-08.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1954-03-08.sgf,https://qjql.net/newgo/dongtu/%E5%90%8D%E4%BA%BA%E6%A3%8B%E8%B0%B1/%E5%90%B4%E6%B8%85%E6%BA%90%E8%87%AA%E6%88%98%E7%99%BE%E5%B1%80078.gif
