book_number,volume,volume_number,title,status,date,black,white,result,move_count,sgf_file,archive_url
77,下卷,27,高川十番棋第八局,matched_by_catalog_title_and_archive_event,"1956-09-28,29",Takagawa Shukaku,Go Seigen,W+1,267,sgf/077-1956-09-28.sgf,https://homepages.cwi.nl/~aeb/go/games/games/Go_Seigen/1956-09-28.sgf
78,下卷,28,大雪崩内拐,needs_game_identification,,,,,,,
79,下卷,29,暌违十三年,needs_game_identification,,,,,,,
80,下卷,30,难解的一局,needs_game_identification,,,,,,,
81,下卷,31,最强战优胜战,needs_game_identification,,,,,,,
82,下卷,32,规则问题局,needs_game_identification,,,,,,,
83,下卷,33,名人战前夜,needs_game_identification,,,,,,,
84,下卷,34,名人战开始,needs_game_identification,,,,,,,
85,下卷,35,交通事故之后,needs_game_identification,,,,,,,
86,下卷,36,过关斩将,needs_game_identification,,,,,,,
87,下卷,37,一举得胜,needs_game_identification,,,,,,,
88,下卷,38,守住第二位,needs_game_identification,,,,,,,
89,下卷,39,痛悔的和棋,needs_game_identification,,,,,,,
90,下卷,40,名人挑战者决定战,needs_game_identification,,,,,,,
91,下卷,41,与爱徒的对局,needs_game_identification,,,,,,,
92,下卷,42,关西的新秀,needs_game_identification,,,,,,,
93,下卷,43,关西的中坚,needs_game_identification,,,,,,,
94,下卷,44,再一次的挑战者决定战,needs_game_identification,,,,,,,
95,下卷,45,木谷门下俊英,needs_game_identification,,,,,,,
96,下卷,46,对一击专业户的反攻,needs_game_identification,,,,,,,
97,下卷,47,顽强的桥本昌二,needs_game_identification,,,,,,,
98,下卷,48,山部变幻流,needs_game_identification,,,,,,,
99,下卷,49,石之心梶原武雄,needs_game_identification,,,,,,,
100,下卷,50,好对手,needs_game_identification,,,,,,,
